"";"1 to 2";"1 to 3";"1 to 4";"1 to 5";"1 to 6";"1 to 7";"1 to 8";"2 to 3";"2 to 4";"2 to 5";"2 to 6";"2 to 7";"2 to 8";"3 to 4";"3 to 5";"3 to 6";"3 to 7";"3 to 8";"4 to 5";"4 to 6";"4 to 7";"4 to 8";"5 to 6";"5 to 7";"5 to 8";"6 to 7";"6 to 8";"7 to 8"
"42";1;1;2;2;2;3;1;3;2;2;1;3;3;1;1;1;3;2;2;2;3;2;2;2;1;3;2;3
"43";3;3;1;3;3;1;1;1;1;3;2;1;1;2;1;3;2;3;3;1;1;1;1;1;2;2;1;3
"44";1;2;3;3;2;1;3;2;1;1;3;1;3;1;3;1;1;1;1;1;3;1;2;2;3;1;2;2
"45";3;1;3;1;2;2;2;2;3;1;3;2;3;2;2;2;2;3;2;1;2;3;3;1;1;3;1;3
"46";2;3;3;2;2;2;1;3;3;1;3;1;1;1;3;1;3;1;2;3;1;2;1;2;2;3;3;2
"47";1;3;3;1;1;1;2;1;3;3;1;2;3;1;2;3;2;2;2;3;3;2;1;3;2;3;3;1
"48";2;1;1;2;3;3;1;2;1;3;3;2;1;2;3;1;1;1;3;3;2;3;2;1;2;3;3;2
"49";2;2;3;2;1;3;3;2;3;3;3;3;1;2;3;3;1;1;1;1;3;1;2;2;3;2;1;3
"50";3;3;3;3;2;2;2;3;1;1;1;1;3;2;3;3;1;1;1;3;3;3;3;1;2;1;1;3
"51";1;2;2;1;3;2;3;1;2;2;2;2;1;3;3;1;2;2;2;2;3;1;2;3;2;3;2;2
"52";2;1;1;1;3;3;1;2;1;3;3;1;3;3;2;1;2;2;3;2;2;1;3;3;3;2;1;1
"53";1;1;1;3;2;1;3;2;2;2;1;1;1;3;1;2;1;1;2;1;3;2;1;2;3;1;2;2
"54";3;3;1;1;3;3;2;3;2;1;1;1;2;3;2;1;1;2;3;1;2;1;3;2;3;3;1;3
"55";2;3;2;2;1;1;3;1;1;2;2;1;3;1;3;3;1;2;3;3;3;2;2;3;1;2;1;3
"56";2;2;3;3;2;2;2;1;1;2;3;3;3;3;3;3;1;3;2;2;3;2;3;3;2;1;1;1
"57";3;1;1;3;2;1;2;1;1;3;2;1;1;3;2;1;1;2;3;1;3;3;3;2;2;1;3;3
"58";3;2;3;3;2;3;1;2;2;1;2;3;2;3;3;1;1;1;2;2;1;1;3;2;3;2;2;3
"59";2;1;3;2;3;2;1;2;2;1;2;1;1;2;1;1;3;2;1;1;3;2;1;3;2;1;2;1
"60";2;1;3;2;2;1;1;1;1;3;2;2;3;1;1;3;2;3;1;2;2;1;1;3;1;2;1;2
"61";1;2;2;1;1;2;1;2;3;3;2;3;2;2;3;1;2;3;1;2;2;1;1;2;1;2;2;2
"62";3;3;3;1;2;3;2;1;3;2;2;1;1;3;3;3;2;2;1;3;1;3;3;1;3;3;3;1
"63";1;2;2;3;3;2;1;3;3;2;3;1;3;1;2;1;3;1;3;3;2;1;2;1;3;3;3;2
"64";2;1;2;2;2;2;1;2;2;2;3;2;1;1;1;2;3;2;2;2;3;2;3;1;3;3;2;3
"65";1;2;3;3;3;3;3;2;2;1;3;2;2;3;2;2;2;3;3;1;3;3;3;2;3;2;3;2
"66";3;2;1;1;2;2;2;3;1;3;2;1;2;3;3;1;1;3;1;2;2;1;3;1;2;2;3;2
"67";3;1;3;1;3;2;2;3;1;2;3;1;1;3;2;2;3;3;3;1;3;3;2;2;3;3;1;2
"68";1;1;3;2;2;2;3;2;2;1;3;3;3;1;1;3;1;1;3;2;1;1;2;1;2;1;2;1
"69";1;1;3;1;1;3;2;2;1;3;3;1;2;3;1;3;1;1;3;2;1;3;3;2;1;2;2;1
"70";2;1;1;2;2;1;2;1;1;1;2;3;2;2;3;2;2;1;3;1;1;1;3;1;2;1;3;3
"71";3;3;2;2;3;2;2;2;1;2;1;2;2;1;2;1;3;3;3;3;2;1;2;1;1;2;2;2
"72";2;1;2;3;1;3;2;1;3;2;1;1;3;3;3;1;2;2;1;3;3;2;2;1;3;3;2;1
"73";3;3;2;3;3;3;1;3;3;2;3;2;2;2;1;3;3;2;3;2;1;1;2;1;1;3;1;1
"74";2;2;1;1;2;3;2;1;1;3;2;2;2;1;1;1;1;3;1;2;1;1;2;1;2;2;3;3
"75";2;2;1;3;1;2;3;2;2;1;3;3;1;1;1;3;1;2;2;2;2;1;3;2;3;1;1;3
"76";1;3;3;3;3;2;3;3;2;1;3;3;2;1;2;2;1;3;3;2;1;1;3;1;1;2;2;2
"77";3;2;1;3;1;1;1;1;3;2;3;1;3;3;2;1;3;3;1;2;1;3;1;2;2;2;2;3
"78";3;2;1;3;1;2;2;2;1;2;2;2;1;2;3;1;3;1;3;1;1;2;3;2;1;1;2;1
"79";2;1;3;1;3;1;1;2;3;3;1;1;1;2;3;1;2;3;2;2;1;2;3;1;3;2;3;3
"80";1;2;3;3;3;3;3;3;3;1;1;2;2;2;1;2;2;1;1;3;3;2;2;3;3;2;2;2
"81";1;2;1;2;1;3;2;1;1;3;2;2;2;3;1;3;1;1;2;3;1;2;3;2;2;2;1;3
"82";2;3;1;3;3;3;2;3;1;1;2;2;3;1;2;2;3;2;2;3;1;2;3;1;1;2;3;2
"83";2;1;1;1;2;2;2;2;3;2;3;1;3;2;2;3;3;3;1;1;2;3;3;3;1;1;2;3
"84";3;1;2;3;3;1;3;2;2;2;3;3;2;1;3;2;2;3;1;3;1;1;1;1;1;2;2;3
"85";1;1;3;2;1;2;3;1;2;1;2;3;1;3;3;2;1;3;2;3;1;2;1;2;1;1;2;3
"86";2;2;1;2;3;2;1;1;1;3;1;3;2;3;2;3;2;3;1;1;1;1;3;2;1;2;1;2
"87";2;2;3;3;3;1;2;1;1;3;3;3;1;2;2;3;2;3;1;1;3;3;1;1;3;2;2;1
"88";3;1;3;2;1;2;3;2;2;3;3;2;3;2;3;1;2;1;1;1;1;3;2;2;3;3;1;1
"89";3;3;2;2;3;3;1;1;2;2;2;2;3;1;3;3;1;1;1;2;3;3;3;2;2;3;2;2
"90";1;2;3;2;3;2;1;2;2;3;1;1;2;1;3;3;2;3;2;3;3;1;3;1;2;2;2;2
"91";3;2;3;1;2;2;1;1;1;1;3;3;2;1;3;2;1;2;3;1;3;1;3;1;3;1;3;2
"92";3;2;3;2;3;2;1;2;1;1;2;3;3;2;3;1;3;3;2;3;2;2;2;3;2;3;2;3
"93";2;2;2;2;2;3;3;2;3;1;2;1;3;2;3;3;2;3;1;1;3;2;2;3;3;2;1;2
"94";3;3;2;1;3;3;1;1;1;2;1;3;3;1;3;2;2;3;1;3;1;3;1;2;1;1;1;3
"95";2;2;3;3;3;2;3;2;1;3;1;2;1;1;1;1;3;3;1;2;1;1;2;1;3;1;3;3
"96";3;3;1;2;2;2;3;3;1;3;2;2;2;2;1;3;1;1;2;2;1;2;1;2;3;2;1;2
"97";1;1;1;3;1;1;1;2;3;2;2;1;1;3;2;2;2;2;1;2;1;2;1;3;3;1;3;3
"98";2;3;2;1;1;1;2;1;2;1;2;1;3;2;2;3;2;2;1;3;3;1;1;1;2;2;3;3
"99";1;1;3;2;2;1;1;1;3;1;1;3;3;1;2;1;2;3;1;3;2;3;1;2;1;2;2;1
"100";3;3;3;1;1;3;1;1;3;3;2;3;2;3;2;2;3;2;2;2;3;3;3;3;1;2;1;1
"101";2;2;2;1;3;2;2;1;3;2;3;1;2;3;1;1;2;1;3;3;2;3;1;1;3;2;1;1
"102";3;2;3;2;3;1;2;1;3;3;1;1;2;1;2;2;1;1;3;3;1;1;2;3;3;3;2;3
"103";3;3;1;2;3;2;2;1;2;1;2;3;1;1;1;3;3;3;1;2;2;1;3;2;2;3;1;1
"104";1;1;2;3;1;2;3;3;3;1;3;3;3;2;3;1;1;1;3;1;1;2;3;1;2;3;2;2
"105";1;1;2;2;1;3;2;3;1;3;1;2;1;2;2;3;1;2;2;3;3;2;2;1;2;2;3;3
"106";2;2;1;3;2;2;3;1;1;2;3;3;3;1;3;1;1;2;3;3;1;3;2;2;2;1;3;2
"107";2;2;3;2;2;3;1;2;3;1;2;2;1;3;2;1;1;1;3;1;2;3;2;3;1;2;2;1
"108";3;1;2;1;1;2;2;1;1;3;1;1;3;3;3;1;3;3;1;1;2;3;2;2;1;1;2;2
"109";3;1;1;2;3;2;2;1;2;2;3;3;2;3;3;2;2;2;3;3;1;2;1;3;3;1;3;3
"110";1;2;2;3;2;2;1;2;1;2;1;2;3;1;3;2;2;1;2;2;3;3;1;1;3;2;1;3
"111";2;1;1;1;2;3;1;3;2;1;3;2;1;1;1;2;1;2;1;2;3;3;2;1;1;1;1;1
"112";2;1;1;1;3;3;1;2;3;1;2;1;1;2;3;2;3;3;3;2;1;1;3;1;2;1;3;1
"113";2;1;1;3;2;3;2;1;1;1;1;3;3;1;3;1;2;3;2;2;3;1;1;1;3;3;3;2
"114";2;2;1;2;3;3;1;2;1;3;3;2;2;1;3;1;1;2;3;2;2;1;3;1;1;3;3;1
"115";1;3;3;1;3;2;1;3;1;2;1;2;1;1;3;3;1;2;1;2;1;3;1;2;3;3;2;1
"116";1;1;3;1;1;1;3;3;2;1;3;3;1;3;1;3;1;3;3;3;2;2;3;3;1;1;3;3
"117";1;1;1;1;2;1;3;2;3;3;1;1;2;2;2;1;3;1;2;2;3;1;1;2;3;3;1;2
"118";3;2;1;3;2;2;3;3;1;2;1;2;1;1;2;3;2;3;2;1;1;2;1;3;3;3;3;2
"119";1;1;1;1;2;2;2;1;3;2;1;3;3;2;1;1;3;3;2;2;2;1;1;1;3;1;2;2
"120";1;1;3;3;2;1;3;1;1;3;2;1;3;1;2;1;1;2;2;1;1;2;3;3;2;1;1;2
"121";3;1;3;3;3;3;1;2;3;3;1;2;2;1;1;1;1;2;1;1;1;2;3;3;2;1;2;1
"122";3;3;2;3;3;2;1;2;3;1;2;3;2;3;1;3;2;2;1;2;2;2;3;2;3;1;2;1
"123";2;1;1;3;1;3;2;1;1;2;2;2;1;2;2;3;1;2;2;3;2;2;3;1;2;2;3;3
"124";1;1;3;1;3;2;2;3;3;1;1;1;1;1;3;3;2;1;2;3;3;3;1;3;1;3;2;3
"125";2;1;2;2;1;1;3;3;3;3;1;2;2;2;3;1;2;1;2;2;2;1;2;2;1;2;1;3
"126";3;1;3;1;3;1;3;1;2;3;3;1;3;2;2;1;3;3;3;2;3;3;2;2;3;2;1;2
"127";1;2;2;2;1;2;1;3;3;1;2;1;1;2;1;2;3;2;3;1;2;1;1;1;2;2;1;2
"128";3;1;2;2;1;1;3;2;3;2;2;1;3;2;2;1;2;1;3;3;2;2;1;2;2;2;1;3
