"";"egoID";"alter.sex.1";"alter.age.1";"alter.sex.2";"alter.age.2";"alter.sex.3";"alter.age.3";"alter.sex.4";"alter.age.4";"alter.sex.5";"alter.age.5";"alter.sex.6";"alter.age.6";"alter.sex.7";"alter.age.7";"alter.sex.8";"alter.age.8"
"281";"36";"m";"46 - 55";"w";"26 - 35";"w";"56 - 65";"m";"46 - 55";"m";"46 - 55";"w";"18 - 25";"w";"36 - 45";"w";"56 - 65"
"289";"37";"w";"0 - 17";"m";"56 - 65";"m";"0 - 17";"m";"18 - 25";"m";"26 - 35";"w";"26 - 35";"w";"26 - 35";"w";"56 - 65"
"297";"38";"w";"46 - 55";"m";"66 - 100";"m";"0 - 17";"m";"0 - 17";"m";"56 - 65";"m";"18 - 25";"m";"56 - 65";"m";"36 - 45"
"305";"39";"w";"18 - 25";"m";"0 - 17";"w";"18 - 25";"m";"18 - 25";"m";"56 - 65";"m";"66 - 100";"w";"46 - 55";"m";"46 - 55"
"313";"40";"w";"0 - 17";"w";"66 - 100";"w";"0 - 17";"w";"66 - 100";"m";"36 - 45";"w";"26 - 35";"w";"56 - 65";"m";"36 - 45"
"321";"41";"m";"26 - 35";"w";"46 - 55";"m";"26 - 35";"w";"26 - 35";"m";"56 - 65";"w";"0 - 17";"m";"66 - 100";"m";"36 - 45"
"329";"42";"m";"18 - 25";"w";"26 - 35";"w";"0 - 17";"m";"56 - 65";"w";"66 - 100";"w";"66 - 100";"m";"56 - 65";"m";"46 - 55"
"337";"43";"w";"36 - 45";"w";"0 - 17";"w";"26 - 35";"m";"18 - 25";"m";"26 - 35";"w";"66 - 100";"w";"36 - 45";"w";"26 - 35"
"345";"44";"w";"36 - 45";"w";"46 - 55";"m";"56 - 65";"m";"56 - 65";"m";"18 - 25";"w";"56 - 65";"m";"36 - 45";"m";"46 - 55"
"353";"45";"w";"18 - 25";"m";"46 - 55";"m";"0 - 17";"m";"66 - 100";"m";"46 - 55";"m";"56 - 65";"w";"36 - 45";"m";"66 - 100"
"361";"46";"m";"18 - 25";"m";"46 - 55";"m";"36 - 45";"w";"26 - 35";"w";"36 - 45";"m";"0 - 17";"m";"56 - 65";"m";"36 - 45"
"369";"47";"m";"56 - 65";"m";"18 - 25";"w";"46 - 55";"w";"66 - 100";"w";"0 - 17";"w";"36 - 45";"w";"26 - 35";"w";"66 - 100"
"377";"48";"w";"0 - 17";"m";"46 - 55";"m";"66 - 100";"w";"18 - 25";"m";"0 - 17";"m";"0 - 17";"w";"36 - 45";"m";"26 - 35"
"385";"49";"w";"18 - 25";"w";"46 - 55";"m";"0 - 17";"w";"66 - 100";"m";"18 - 25";"m";"36 - 45";"w";"36 - 45";"m";"56 - 65"
"393";"50";"m";"46 - 55";"w";"46 - 55";"w";"36 - 45";"w";"56 - 65";"w";"56 - 65";"m";"46 - 55";"m";"36 - 45";"w";"56 - 65"
"401";"51";"m";"56 - 65";"m";"26 - 35";"w";"26 - 35";"m";"66 - 100";"w";"18 - 25";"m";"66 - 100";"m";"18 - 25";"w";"26 - 35"
"409";"52";"m";"46 - 55";"w";"26 - 35";"w";"56 - 65";"m";"46 - 55";"m";"46 - 55";"w";"18 - 25";"w";"36 - 45";"w";"56 - 65"
"417";"53";"w";"0 - 17";"m";"56 - 65";"m";"0 - 17";"m";"18 - 25";"m";"26 - 35";"w";"26 - 35";"w";"26 - 35";"w";"56 - 65"
"425";"54";"w";"46 - 55";"m";"66 - 100";"m";"0 - 17";"m";"0 - 17";"m";"56 - 65";"m";"18 - 25";"m";"56 - 65";"m";"36 - 45"
"433";"55";"w";"18 - 25";"m";"0 - 17";"w";"18 - 25";"m";"18 - 25";"m";"56 - 65";"m";"66 - 100";"w";"46 - 55";"m";"46 - 55"
"441";"56";"w";"0 - 17";"w";"66 - 100";"w";"0 - 17";"w";"66 - 100";"m";"36 - 45";"w";"26 - 35";"w";"56 - 65";"m";"36 - 45"
"449";"57";"m";"26 - 35";"w";"46 - 55";"m";"26 - 35";"w";"26 - 35";"m";"56 - 65";"w";"0 - 17";"m";"66 - 100";"m";"36 - 45"
"457";"58";"m";"18 - 25";"w";"26 - 35";"w";"0 - 17";"m";"56 - 65";"w";"66 - 100";"w";"66 - 100";"m";"56 - 65";"m";"46 - 55"
"465";"59";"w";"36 - 45";"w";"0 - 17";"w";"26 - 35";"m";"18 - 25";"m";"26 - 35";"w";"66 - 100";"w";"36 - 45";"w";"26 - 35"
"473";"60";"w";"36 - 45";"w";"46 - 55";"m";"56 - 65";"m";"56 - 65";"m";"18 - 25";"w";"56 - 65";"m";"36 - 45";"m";"46 - 55"
"481";"61";"w";"18 - 25";"m";"46 - 55";"m";"0 - 17";"m";"66 - 100";"m";"46 - 55";"m";"56 - 65";"w";"36 - 45";"m";"66 - 100"
"489";"62";"m";"18 - 25";"m";"46 - 55";"m";"36 - 45";"w";"26 - 35";"w";"36 - 45";"m";"0 - 17";"m";"56 - 65";"m";"36 - 45"
"497";"63";"m";"56 - 65";"m";"18 - 25";"w";"46 - 55";"w";"66 - 100";"w";"0 - 17";"w";"36 - 45";"w";"26 - 35";"w";"66 - 100"
"505";"64";"w";"0 - 17";"m";"46 - 55";"m";"66 - 100";"w";"18 - 25";"m";"0 - 17";"m";"0 - 17";"w";"36 - 45";"m";"26 - 35"
"513";"65";"w";"18 - 25";"w";"46 - 55";"m";"0 - 17";"w";"66 - 100";"m";"18 - 25";"m";"36 - 45";"w";"36 - 45";"m";"56 - 65"
"521";"66";"m";"46 - 55";"w";"46 - 55";"w";"36 - 45";"w";"56 - 65";"w";"56 - 65";"m";"46 - 55";"m";"36 - 45";"w";"56 - 65"
"529";"67";"m";"56 - 65";"m";"26 - 35";"w";"26 - 35";"m";"66 - 100";"w";"18 - 25";"m";"66 - 100";"m";"18 - 25";"w";"26 - 35"
"537";"68";"m";"46 - 55";"w";"26 - 35";"w";"56 - 65";"m";"46 - 55";"m";"46 - 55";"w";"18 - 25";"w";"36 - 45";"w";"56 - 65"
"545";"69";"w";"0 - 17";"m";"56 - 65";"m";"0 - 17";"m";"18 - 25";"m";"26 - 35";"w";"26 - 35";"w";"26 - 35";"w";"56 - 65"
"553";"70";"w";"46 - 55";"m";"66 - 100";"m";"0 - 17";"m";"0 - 17";"m";"56 - 65";"m";"18 - 25";"m";"56 - 65";"m";"36 - 45"
"561";"71";"w";"18 - 25";"m";"0 - 17";"w";"18 - 25";"m";"18 - 25";"m";"56 - 65";"m";"66 - 100";"w";"46 - 55";"m";"46 - 55"
"569";"72";"w";"0 - 17";"w";"66 - 100";"w";"0 - 17";"w";"66 - 100";"m";"36 - 45";"w";"26 - 35";"w";"56 - 65";"m";"36 - 45"
"577";"73";"m";"26 - 35";"w";"46 - 55";"m";"26 - 35";"w";"26 - 35";"m";"56 - 65";"w";"0 - 17";"m";"66 - 100";"m";"36 - 45"
"585";"74";"m";"18 - 25";"w";"26 - 35";"w";"0 - 17";"m";"56 - 65";"w";"66 - 100";"w";"66 - 100";"m";"56 - 65";"m";"46 - 55"
"593";"75";"w";"36 - 45";"w";"0 - 17";"w";"26 - 35";"m";"18 - 25";"m";"26 - 35";"w";"66 - 100";"w";"36 - 45";"w";"26 - 35"
"601";"76";"w";"36 - 45";"w";"46 - 55";"m";"56 - 65";"m";"56 - 65";"m";"18 - 25";"w";"56 - 65";"m";"36 - 45";"m";"46 - 55"
"609";"77";"w";"18 - 25";"m";"46 - 55";"m";"0 - 17";"m";"66 - 100";"m";"46 - 55";"m";"56 - 65";"w";"36 - 45";"m";"66 - 100"
"617";"78";"m";"18 - 25";"m";"46 - 55";"m";"36 - 45";"w";"26 - 35";"w";"36 - 45";"m";"0 - 17";"m";"56 - 65";"m";"36 - 45"
"625";"79";"m";"56 - 65";"m";"18 - 25";"w";"46 - 55";"w";"66 - 100";"w";"0 - 17";"w";"36 - 45";"w";"26 - 35";"w";"66 - 100"
"633";"80";"w";"0 - 17";"m";"46 - 55";"m";"66 - 100";"w";"18 - 25";"m";"0 - 17";"m";"0 - 17";"w";"36 - 45";"m";"26 - 35"
"641";"81";"w";"18 - 25";"w";"46 - 55";"m";"0 - 17";"w";"66 - 100";"m";"18 - 25";"m";"36 - 45";"w";"36 - 45";"m";"56 - 65"
"649";"82";"m";"46 - 55";"w";"46 - 55";"w";"36 - 45";"w";"56 - 65";"w";"56 - 65";"m";"46 - 55";"m";"36 - 45";"w";"56 - 65"
"657";"83";"m";"56 - 65";"m";"26 - 35";"w";"26 - 35";"m";"66 - 100";"w";"18 - 25";"m";"66 - 100";"m";"18 - 25";"w";"26 - 35"
"665";"84";"m";"46 - 55";"w";"26 - 35";"w";"56 - 65";"m";"46 - 55";"m";"46 - 55";"w";"18 - 25";"w";"36 - 45";"w";"56 - 65"
"673";"85";"w";"0 - 17";"m";"56 - 65";"m";"0 - 17";"m";"18 - 25";"m";"26 - 35";"w";"26 - 35";"w";"26 - 35";"w";"56 - 65"
"681";"86";"w";"46 - 55";"m";"66 - 100";"m";"0 - 17";"m";"0 - 17";"m";"56 - 65";"m";"18 - 25";"m";"56 - 65";"m";"36 - 45"
"689";"87";"w";"18 - 25";"m";"0 - 17";"w";"18 - 25";"m";"18 - 25";"m";"56 - 65";"m";"66 - 100";"w";"46 - 55";"m";"46 - 55"
"697";"88";"w";"0 - 17";"w";"66 - 100";"w";"0 - 17";"w";"66 - 100";"m";"36 - 45";"w";"26 - 35";"w";"56 - 65";"m";"36 - 45"
"705";"89";"m";"26 - 35";"w";"46 - 55";"m";"26 - 35";"w";"26 - 35";"m";"56 - 65";"w";"0 - 17";"m";"66 - 100";"m";"36 - 45"
"713";"90";"m";"18 - 25";"w";"26 - 35";"w";"0 - 17";"m";"56 - 65";"w";"66 - 100";"w";"66 - 100";"m";"56 - 65";"m";"46 - 55"
"721";"91";"w";"36 - 45";"w";"0 - 17";"w";"26 - 35";"m";"18 - 25";"m";"26 - 35";"w";"66 - 100";"w";"36 - 45";"w";"26 - 35"
"729";"92";"w";"36 - 45";"w";"46 - 55";"m";"56 - 65";"m";"56 - 65";"m";"18 - 25";"w";"56 - 65";"m";"36 - 45";"m";"46 - 55"
"737";"93";"w";"18 - 25";"m";"46 - 55";"m";"0 - 17";"m";"66 - 100";"m";"46 - 55";"m";"56 - 65";"w";"36 - 45";"m";"66 - 100"
"745";"94";"m";"18 - 25";"m";"46 - 55";"m";"36 - 45";"w";"26 - 35";"w";"36 - 45";"m";"0 - 17";"m";"56 - 65";"m";"36 - 45"
"753";"95";"m";"56 - 65";"m";"18 - 25";"w";"46 - 55";"w";"66 - 100";"w";"0 - 17";"w";"36 - 45";"w";"26 - 35";"w";"66 - 100"
"761";"96";"w";"0 - 17";"m";"46 - 55";"m";"66 - 100";"w";"18 - 25";"m";"0 - 17";"m";"0 - 17";"w";"36 - 45";"m";"26 - 35"
"769";"97";"w";"18 - 25";"w";"46 - 55";"m";"0 - 17";"w";"66 - 100";"m";"18 - 25";"m";"36 - 45";"w";"36 - 45";"m";"56 - 65"
"777";"98";"m";"46 - 55";"w";"46 - 55";"w";"36 - 45";"w";"56 - 65";"w";"56 - 65";"m";"46 - 55";"m";"36 - 45";"w";"56 - 65"
"785";"99";"m";"56 - 65";"m";"26 - 35";"w";"26 - 35";"m";"66 - 100";"w";"18 - 25";"m";"66 - 100";"m";"18 - 25";"w";"26 - 35"
"793";"100";"m";"46 - 55";"w";"26 - 35";"w";"56 - 65";"m";"46 - 55";"m";"46 - 55";"w";"18 - 25";"w";"36 - 45";"w";"56 - 65"
"801";"101";"w";"0 - 17";"m";"56 - 65";"m";"0 - 17";"m";"18 - 25";"m";"26 - 35";"w";"26 - 35";"w";"26 - 35";"w";"56 - 65"
"809";"102";"w";"46 - 55";"m";"66 - 100";"m";"0 - 17";"m";"0 - 17";"m";"56 - 65";"m";"18 - 25";"m";"56 - 65";"m";"36 - 45"
"817";"103";"w";"18 - 25";"m";"0 - 17";"w";"18 - 25";"m";"18 - 25";"m";"56 - 65";"m";"66 - 100";"w";"46 - 55";"m";"46 - 55"
"825";"104";"w";"0 - 17";"w";"66 - 100";"w";"0 - 17";"w";"66 - 100";"m";"36 - 45";"w";"26 - 35";"w";"56 - 65";"m";"36 - 45"
"833";"105";"m";"26 - 35";"w";"46 - 55";"m";"26 - 35";"w";"26 - 35";"m";"56 - 65";"w";"0 - 17";"m";"66 - 100";"m";"36 - 45"
"841";"106";"m";"18 - 25";"w";"26 - 35";"w";"0 - 17";"m";"56 - 65";"w";"66 - 100";"w";"66 - 100";"m";"56 - 65";"m";"46 - 55"
"849";"107";"w";"36 - 45";"w";"0 - 17";"w";"26 - 35";"m";"18 - 25";"m";"26 - 35";"w";"66 - 100";"w";"36 - 45";"w";"26 - 35"
"857";"108";"w";"36 - 45";"w";"46 - 55";"m";"56 - 65";"m";"56 - 65";"m";"18 - 25";"w";"56 - 65";"m";"36 - 45";"m";"46 - 55"
"865";"109";"w";"18 - 25";"m";"46 - 55";"m";"0 - 17";"m";"66 - 100";"m";"46 - 55";"m";"56 - 65";"w";"36 - 45";"m";"66 - 100"
"873";"110";"m";"18 - 25";"m";"46 - 55";"m";"36 - 45";"w";"26 - 35";"w";"36 - 45";"m";"0 - 17";"m";"56 - 65";"m";"36 - 45"
"881";"111";"m";"56 - 65";"m";"18 - 25";"w";"46 - 55";"w";"66 - 100";"w";"0 - 17";"w";"36 - 45";"w";"26 - 35";"w";"66 - 100"
"889";"112";"w";"0 - 17";"m";"46 - 55";"m";"66 - 100";"w";"18 - 25";"m";"0 - 17";"m";"0 - 17";"w";"36 - 45";"m";"26 - 35"
"897";"113";"w";"18 - 25";"w";"46 - 55";"m";"0 - 17";"w";"66 - 100";"m";"18 - 25";"m";"36 - 45";"w";"36 - 45";"m";"56 - 65"
"905";"114";"m";"46 - 55";"w";"46 - 55";"w";"36 - 45";"w";"56 - 65";"w";"56 - 65";"m";"46 - 55";"m";"36 - 45";"w";"56 - 65"
"913";"115";"m";"56 - 65";"m";"26 - 35";"w";"26 - 35";"m";"66 - 100";"w";"18 - 25";"m";"66 - 100";"m";"18 - 25";"w";"26 - 35"
"921";"116";"m";"46 - 55";"w";"26 - 35";"w";"56 - 65";"m";"46 - 55";"m";"46 - 55";"w";"18 - 25";"w";"36 - 45";"w";"56 - 65"
"929";"117";"w";"0 - 17";"m";"56 - 65";"m";"0 - 17";"m";"18 - 25";"m";"26 - 35";"w";"26 - 35";"w";"26 - 35";"w";"56 - 65"
"937";"118";"w";"46 - 55";"m";"66 - 100";"m";"0 - 17";"m";"0 - 17";"m";"56 - 65";"m";"18 - 25";"m";"56 - 65";"m";"36 - 45"
"945";"119";"w";"18 - 25";"m";"0 - 17";"w";"18 - 25";"m";"18 - 25";"m";"56 - 65";"m";"66 - 100";"w";"46 - 55";"m";"46 - 55"
"953";"120";"w";"0 - 17";"w";"66 - 100";"w";"0 - 17";"w";"66 - 100";"m";"36 - 45";"w";"26 - 35";"w";"56 - 65";"m";"36 - 45"
"961";"121";"m";"26 - 35";"w";"46 - 55";"m";"26 - 35";"w";"26 - 35";"m";"56 - 65";"w";"0 - 17";"m";"66 - 100";"m";"36 - 45"
"969";"122";"m";"18 - 25";"w";"26 - 35";"w";"0 - 17";"m";"56 - 65";"w";"66 - 100";"w";"66 - 100";"m";"56 - 65";"m";"46 - 55"
"977";"123";"w";"36 - 45";"w";"0 - 17";"w";"26 - 35";"m";"18 - 25";"m";"26 - 35";"w";"66 - 100";"w";"36 - 45";"w";"26 - 35"
"985";"124";"w";"36 - 45";"w";"46 - 55";"m";"56 - 65";"m";"56 - 65";"m";"18 - 25";"w";"56 - 65";"m";"36 - 45";"m";"46 - 55"
"993";"125";"w";"18 - 25";"m";"46 - 55";"m";"0 - 17";"m";"66 - 100";"m";"46 - 55";"m";"56 - 65";"w";"36 - 45";"m";"66 - 100"
"1001";"126";"m";"18 - 25";"m";"46 - 55";"m";"36 - 45";"w";"26 - 35";"w";"36 - 45";"m";"0 - 17";"m";"56 - 65";"m";"36 - 45"
"1009";"127";"m";"56 - 65";"m";"18 - 25";"w";"46 - 55";"w";"66 - 100";"w";"0 - 17";"w";"36 - 45";"w";"26 - 35";"w";"66 - 100"
"1017";"128";"w";"0 - 17";"m";"46 - 55";"m";"66 - 100";"w";"18 - 25";"m";"0 - 17";"m";"0 - 17";"w";"36 - 45";"m";"26 - 35"
